date,pm25,pm25_n_stations
2024-04-29,6.749037193736731,1884
2024-04-30,6.205223078431373,2244
2024-05-01,5.91229257631579,1900
2024-05-02,6.333643105429625,1897
2024-05-03,6.165236075708314,2153
2024-05-04,5.5375105347368425,1900
2024-05-05,4.697279526288118,1902
2024-05-06,5.591498483289358,2274
2024-05-07,6.265434217185029,1897
2024-05-08,7.00239748444913,1897
2024-05-09,5.972260727399814,2146
2024-05-10,5.195169008394544,1906
2024-05-11,5.305939252109704,1896
2024-05-12,7.157365456405694,2248
2024-05-13,8.028394689509753,1897
2024-05-14,7.196872355718782,1906
2024-05-15,6.97428241651206,2156
2024-05-16,6.827662221870047,1893
2024-05-17,6.715556109814323,1885
2024-05-18,6.905915977934686,2266
2024-05-19,6.635772467802022,1879
2024-05-20,7.230414747608926,1882
2024-05-21,8.14600052443609,2128
2024-05-22,7.416939380126183,1902
2024-05-23,7.469231133507853,1910
2024-05-24,7.656350305481873,2262
2024-05-25,7.173588121607516,1916
2024-05-26,7.778583488445379,1904
2024-05-27,6.82942550917647,2125
2024-05-28,5.742453914691943,1899
2024-05-29,5.274394886149003,1906
2024-05-30,5.767146429439861,2303
2024-05-31,6.284799419766206,1882
2024-06-01,6.853353517350158,1902
2024-06-02,6.826418577266322,2129
2024-06-03,7.0897432652631585,1900
2024-06-04,7.643406954497908,1912
2024-06-05,7.024167060471321,2249
2024-06-06,6.6673717841501565,1918
2024-06-07,6.372992700313808,1912
2024-06-08,6.02820603538175,2148
2024-06-09,5.67693627168234,1914
2024-06-10,5.505778832288401,1914
2024-06-11,6.387076728024369,2298
2024-06-12,7.189412660910518,1911
2024-06-13,8.271275091147198,1909
2024-06-14,8.454467660631384,2154
2024-06-15,7.5440854319126815,1924
2024-06-16,8.428189405109489,1918
2024-06-17,8.982152223748338,2257
2024-06-18,7.819324737089202,1917
2024-06-19,8.319357030825497,1914
2024-06-20,8.685872836431226,2152
2024-06-21,8.8200789828125,1920
2024-06-22,8.662534576722338,1916
2024-06-23,6.952376660113587,2289
2024-06-24,6.0514362309697605,1918
2024-06-25,7.100364289611753,1906
2024-06-26,6.804004581963363,2129
2024-06-27,5.6131232330148615,1884
2024-06-28,6.178368957591623,1910
2024-06-29,6.847530371630579,2263
2024-06-30,5.74986826606479,1883
2024-07-01,5.32294790586991,1891
2024-07-02,6.4368215146171694,2155
2024-07-03,7.361464380062305,1926
2024-07-04,10.812489351909184,1938
2024-07-05,9.87464366189236,2304
2024-07-06,7.4570309911041335,1911
2024-07-07,7.6305623259493665,1896
2024-07-08,8.319779049881236,2105
2024-07-09,8.933295206038135,1888
2024-07-10,8.088516103629669,1901
2024-07-11,8.274563657079646,2260
2024-07-12,9.246302602195504,1913
2024-07-13,9.304589421578948,1900
2024-07-14,9.681537111996251,2134
2024-07-15,9.863058326465929,1893
2024-07-16,8.904035731034483,1885
2024-07-17,7.98187458782304,2283
2024-07-18,7.270579437532947,1897
2024-07-19,7.28691256210191,1884
2024-07-20,8.289211807674311,2137
2024-07-21,8.896502609134359,1883
2024-07-22,9.959716632135306,1892
2024-07-23,10.249041065333333,2250
2024-07-24,10.244177654631084,1911
2024-07-25,10.298492146506778,1918
2024-07-26,9.596805093475243,2161
2024-07-27,10.760101673277662,1916
2024-07-28,10.367814964921465,1910
2024-07-29,9.093808444687363,2287
2024-07-30,8.851003950157398,1906
2024-07-31,10.27101539334027,1922
2024-08-01,11.113680187037037,2160
2024-08-02,10.226351095683826,1923
2024-08-03,8.96345794568029,1933
2024-08-04,9.185145881782091,2267
2024-08-05,9.618669150419288,1908
2024-08-06,8.650019112676057,1917
2024-08-07,7.865894429767442,2150
2024-08-08,8.207720868639667,1926
2024-08-09,7.83634502065049,1937
2024-08-10,7.582981282439446,2312
2024-08-11,7.392155771857217,1933
2024-08-12,7.258070809176225,1918
2024-08-13,8.021980774988377,2151
2024-08-14,9.427959103608247,1940
2024-08-15,9.500128136787565,1930
2024-08-16,9.636052411868132,2275
2024-08-17,8.873209984768907,1904
2024-08-18,8.203768492055085,1888
2024-08-19,7.56399179315197,2132
2024-08-20,6.594146115025906,1930
2024-08-21,6.662838558488613,1932
2024-08-22,7.2716170452001725,2323
2024-08-23,8.060791049510057,1939
2024-08-24,9.031522129668051,1928
2024-08-25,9.54337916542751,2152
2024-08-26,9.494655595933263,1918
2024-08-27,9.284850503904217,1921
2024-08-28,8.046425249562171,2284
2024-08-29,7.261633707029246,1949
2024-08-30,7.082831248587571,1947
2024-08-31,6.44972694724875,2199
2024-09-01,6.882276357363543,1942
2024-09-02,6.21953424754522,1935
2024-09-03,5.944569498921019,2317
2024-09-04,7.584959783769902,1947
2024-09-05,7.994182295897436,1950
2024-09-06,7.496853601190476,2184
2024-09-07,6.464095567497404,1926
2024-09-08,6.207281514598541,1918
2024-09-09,7.008800539069359,2278
2024-09-10,7.751766298862461,1934
2024-09-11,9.41196752334025,1928
2024-09-12,8.42575548357242,2161
2024-09-13,7.36046640093361,1928
2024-09-14,6.89833796723869,1923
2024-09-15,6.534352547588004,2301
2024-09-16,6.189076092139511,1921
2024-09-17,6.141581163476461,1933
2024-09-18,6.326438615632184,2175
2024-09-19,6.4501664343329885,1934
2024-09-20,6.702831595755693,1932
2024-09-21,6.862438835073978,2298
2024-09-22,6.17507890984456,1930
2024-09-23,5.933835112676056,1917
2024-09-24,5.958337191420664,2168
2024-09-25,5.3222462602094245,1910
2024-09-26,5.355287686910994,1910
2024-09-27,5.753012572062084,2255
2024-09-28,5.746945626385224,1895
2024-09-29,5.6430419804543055,1893
2024-09-30,6.512452012735849,2120
2024-10-01,6.939574324451411,1914
2024-10-02,7.208352165879265,1905
2024-10-03,7.915834026455027,2268
2024-10-04,8.268504510384217,1926
2024-10-05,8.345094422877846,1932
2024-10-06,8.630080531698287,2161
2024-10-07,8.237296694924124,1911
2024-10-08,8.044300348031497,1905
2024-10-09,7.819281982056893,2285
2024-10-10,7.506738541578947,1900
2024-10-11,8.12587780829832,1904
2024-10-12,8.358218135854342,2142
2024-10-13,8.051236492623815,1898
2024-10-14,6.337855569246972,1899
2024-10-15,5.902387609485816,2256
2024-10-16,5.5016450397074195,1914
2024-10-17,5.758359500783289,1915
2024-10-18,6.981356810584958,2154
2024-10-19,8.031615868869386,1937
2024-10-20,8.372739377903976,1937
2024-10-21,8.589528327698309,2307
2024-10-22,8.783320881224066,1928
2024-10-23,8.117653623767515,1927
2024-10-24,6.880734130694892,2173
2024-10-25,7.8534540212435235,1930
2024-10-26,7.73472286570248,1936
2024-10-27,6.9050698297593,2285
